id,text,rating,source,category
1,Pricing is too high for sorting feature.,4,web,pricing
2,I keep getting an error on profile update screen.,3,email,bug
3,The font size is too small on integration with serviceX pages.,3,email,ux
4,The font size is too small on sorting pages.,3,chat,ux
5,"I'd love a feature that can dark mode. Also, Please add uploading photos to improve recently.",2,web,feature
6,Pricing is too high for dark mode feature.,3,email,pricing
7,Navigation is hard; I expected two-factor auth to be easier.,1,mobile,ux
8,"The search button doesn't work, it just recently.",4,web,bug
9,The new layout is confusing and I can't uploading photos.,1,web,ux
10,"Navigation is hard; I expected checkout to be easier. Also, Excellent support when I uploading photos.",5,mobile,ux
11,I keep getting an error on payments screen.,3,email,bug
12,"Excellent support when I logging in. Also, Pricing is too high for filters feature.",1,email,praise
13,"The payments button doesn't work, it just recently. Also, App crashes when I try to search.",3,email,bug
14,Great experience with sync — thank you!,4,email,praise
15,The new layout is confusing and I can't uploading photos.,1,web,ux
16,"Loving the app, payments works great!",5,mobile,praise
17,Need support for profile update integrations.,3,chat,feature
18,"The search button doesn't work, it just without errors.",4,mobile,bug
19,"Pricing is too high for filters feature. Also, The font size is too small on two-factor auth pages.",5,chat,pricing
20,I'd love a feature that can filters.,4,email,feature
21,The new layout is confusing and I can't uploading photos.,2,chat,ux
22,Navigation is hard; I expected search to be easier.,1,chat,ux
23,App crashes when I try to sharing.,3,email,bug
24,The new layout is confusing and I can't two-factor auth.,1,web,ux
25,"Please add sharing to improve every time. Also, Need support for uploading photos integrations.",3,mobile,feature
26,Please add notifications to improve every time.,1,email,feature
27,"I keep getting an error on dark mode screen. Also, No comment, just checking in.",4,mobile,bug
28,I have a general question about sorting.,1,chat,other
29,The font size is too small on signup pages.,5,email,ux
30,I have a general question about integration with serviceX.,2,chat,other
31,"Loving the app, sorting works great!",4,mobile,praise
32,Not sure how to use the app for sync.,4,web,other
33,"The font size is too small on integration with serviceX pages. Also, I was charged twice when I checkout.",2,web,ux
34,Subscription plans are confusing; I want uploading photos option.,5,mobile,pricing
35,Great experience with uploading photos — thank you!,5,mobile,praise
36,"The signup button doesn't work, it just every time.",3,mobile,bug
37,"The sharing button doesn't work, it just every time. Also, App crashes when I try to two-factor auth.",1,mobile,bug
38,App crashes when I try to profile update.,4,web,bug
39,App crashes when I try to signup.,2,mobile,bug
40,I keep getting an error on dark mode screen.,1,email,bug
41,I have a general question about profile update.,3,chat,other
42,"No comment, just checking in.",1,mobile,other
43,I'd love a feature that can two-factor auth.,4,web,feature
44,"Please add profile update to improve quickly. Also, Great experience with signup — thank you!",4,chat,feature
45,"Loving the app, payments works great! Also, The two-factor auth button doesn't work, it just without errors.",4,web,praise
46,The font size is too small on uploading photos pages.,4,mobile,ux
47,"App crashes when I try to sorting. Also, No comment, just checking in.",4,web,bug
48,"Subscription plans are confusing; I want payments option. Also, Excellent support when I signup.",3,chat,pricing
49,I was charged twice when I notifications.,4,web,pricing
50,I keep getting an error on signup screen.,4,mobile,bug
51,Please add uploading photos to improve every time.,4,chat,feature
52,Excellent support when I sharing.,2,mobile,praise
53,"Loving the app, dark mode works great!",3,mobile,praise
54,"I keep getting an error on signup screen. Also, I was charged twice when I sorting.",4,web,bug
55,Not sure how to use the app for sharing.,2,web,other
56,"Need support for notifications integrations. Also, The profile update button doesn't work, it just every time.",1,mobile,feature
57,Subscription plans are confusing; I want profile update option.,1,email,pricing
58,"Not sure how to use the app for uploading photos. Also, I'd love a feature that can profile update.",1,mobile,other
59,The font size is too small on checkout pages.,1,email,ux
60,"The new layout is confusing and I can't sorting. Also, Great experience with integration with serviceX — thank you!",1,mobile,ux
61,"The dark mode button doesn't work, it just without errors.",3,email,bug
62,App crashes when I try to sync.,1,mobile,bug
63,Navigation is hard; I expected checkout to be easier.,2,web,ux
64,"App crashes when I try to uploading photos. Also, Pricing is too high for dark mode feature.",5,web,bug
65,"The payments button doesn't work, it just every time. Also, The font size is too small on logging in pages.",4,email,bug
66,I was charged twice when I uploading photos.,2,web,pricing
67,"Not sure how to use the app for filters. Also, The font size is too small on profile update pages.",2,mobile,other
68,"Loving the app, sync works great!",1,mobile,praise
69,I keep getting an error on uploading photos screen.,4,web,bug
70,Great experience with notifications — thank you!,4,email,praise
71,"I have a general question about dark mode. Also, Not sure how to use the app for integration with serviceX.",4,mobile,other
72,Excellent support when I signup.,5,web,praise
73,"Great experience with sharing — thank you! Also, I have a general question about logging in.",3,web,praise
74,App crashes when I try to notifications.,3,mobile,bug
75,Not sure how to use the app for search.,2,email,other
76,I have a general question about search.,4,email,other
77,Excellent support when I profile update.,5,chat,praise
78,Excellent support when I search.,5,web,praise
79,"The logging in button doesn't work, it just without errors.",3,chat,bug
80,"The profile update button doesn't work, it just without errors.",1,email,bug
81,Need support for integration with serviceX integrations.,1,web,feature
82,App crashes when I try to logging in.,4,email,bug
83,"Please add integration with serviceX to improve sometimes. Also, Subscription plans are confusing; I want sharing option.",5,chat,feature
84,"The sharing button doesn't work, it just without errors.",4,chat,bug
85,Subscription plans are confusing; I want signup option.,4,web,pricing
86,"The dark mode button doesn't work, it just recently. Also, No comment, just checking in.",5,mobile,bug
87,App crashes when I try to sharing.,3,email,bug
88,"The profile update button doesn't work, it just recently.",3,email,bug
89,"The dark mode button doesn't work, it just recently. Also, Please add sharing to improve every time.",4,web,bug
90,I'd love a feature that can signup.,3,mobile,feature
91,Subscription plans are confusing; I want profile update option.,4,mobile,pricing
92,"App crashes when I try to two-factor auth. Also, Pricing is too high for uploading photos feature.",3,email,bug
93,Please add sharing to improve without errors.,2,web,feature
94,Navigation is hard; I expected checkout to be easier.,4,mobile,ux
95,The font size is too small on filters pages.,4,mobile,ux
96,Need support for payments integrations.,1,mobile,feature
97,Please add integration with serviceX to improve sometimes.,5,web,feature
98,Great experience with search — thank you!,4,chat,praise
99,"I'd love a feature that can integration with serviceX. Also, Great experience with sync — thank you!",1,chat,feature
100,Need support for dark mode integrations.,2,web,feature
101,"No comment, just checking in.",3,mobile,other
102,Excellent support when I search.,5,email,praise
103,The new layout is confusing and I can't dark mode.,5,web,ux
104,I keep getting an error on search screen.,5,chat,bug
105,The font size is too small on dark mode pages.,1,web,ux
106,Great experience with sorting — thank you!,4,chat,praise
107,Subscription plans are confusing; I want sync option.,3,web,pricing
108,"Please add notifications to improve sometimes. Also, Excellent support when I notifications.",4,web,feature
109,"The font size is too small on filters pages. Also, Navigation is hard; I expected integration with serviceX to be easier.",1,email,ux
110,"I'd love a feature that can sorting. Also, Great experience with sorting — thank you!",5,email,feature
111,"The payments button doesn't work, it just without errors.",2,chat,bug
112,"The search button doesn't work, it just quickly.",4,web,bug
113,"Loving the app, notifications works great! Also, The new layout is confusing and I can't sync.",5,chat,praise
114,"No comment, just checking in. Also, Need support for sharing integrations.",2,chat,other
115,Excellent support when I integration with serviceX.,1,web,praise
116,The font size is too small on checkout pages.,4,chat,ux
117,App crashes when I try to uploading photos.,2,email,bug
118,I keep getting an error on payments screen.,3,mobile,bug
119,The new layout is confusing and I can't checkout.,4,web,ux
120,The new layout is confusing and I can't sorting.,2,chat,ux
121,"No comment, just checking in. Also, Excellent support when I notifications.",1,mobile,other
122,I keep getting an error on filters screen.,3,email,bug
123,App crashes when I try to search.,1,web,bug
124,Please add sharing to improve recently.,3,email,feature
125,"Navigation is hard; I expected notifications to be easier. Also, Not sure how to use the app for notifications.",5,email,ux
126,I keep getting an error on integration with serviceX screen.,1,web,bug
127,I have a general question about sorting.,1,chat,other
128,Navigation is hard; I expected checkout to be easier.,3,email,ux
129,The font size is too small on profile update pages.,5,chat,ux
130,"The checkout button doesn't work, it just sometimes.",2,chat,bug
131,"I keep getting an error on filters screen. Also, The sharing button doesn't work, it just quickly.",4,mobile,bug
132,I keep getting an error on filters screen.,4,mobile,bug
133,"The font size is too small on filters pages. Also, The font size is too small on sync pages.",1,email,ux
134,App crashes when I try to logging in.,1,chat,bug
135,Please add payments to improve every time.,1,web,feature
136,Need support for logging in integrations.,3,chat,feature
137,I was charged twice when I payments.,3,mobile,pricing
138,"The sync button doesn't work, it just sometimes.",5,mobile,bug
139,"Need support for integration with serviceX integrations. Also, Great experience with sync — thank you!",4,chat,feature
140,I keep getting an error on payments screen.,3,mobile,bug
141,I'd love a feature that can two-factor auth.,1,mobile,feature
142,"Navigation is hard; I expected uploading photos to be easier. Also, App crashes when I try to profile update.",3,web,ux
143,Navigation is hard; I expected profile update to be easier.,3,chat,ux
144,"Pricing is too high for checkout feature. Also, Subscription plans are confusing; I want search option.",4,mobile,pricing
145,Excellent support when I sync.,5,mobile,praise
146,"I was charged twice when I logging in. Also, I was charged twice when I dark mode.",4,mobile,pricing
147,"App crashes when I try to uploading photos. Also, The font size is too small on signup pages.",5,chat,bug
148,Pricing is too high for filters feature.,3,email,pricing
149,"I have a general question about profile update. Also, I keep getting an error on dark mode screen.",4,chat,other
150,I keep getting an error on logging in screen.,3,web,bug
151,"App crashes when I try to sorting. Also, The new layout is confusing and I can't search.",1,web,bug
152,Excellent support when I filters.,5,mobile,praise
153,App crashes when I try to payments.,2,mobile,bug
154,"The logging in button doesn't work, it just every time.",2,email,bug
155,The font size is too small on integration with serviceX pages.,3,mobile,ux
156,"The font size is too small on search pages. Also, I'd love a feature that can integration with serviceX.",3,email,ux
157,Excellent support when I payments.,4,mobile,praise
158,"Navigation is hard; I expected notifications to be easier. Also, The new layout is confusing and I can't sync.",3,mobile,ux
159,"The font size is too small on signup pages. Also, Not sure how to use the app for checkout.",2,email,ux
160,Navigation is hard; I expected search to be easier.,4,email,ux
161,"Pricing is too high for sync feature. Also, Subscription plans are confusing; I want profile update option.",5,chat,pricing
162,"The font size is too small on dark mode pages. Also, App crashes when I try to dark mode.",1,chat,ux
163,"I'd love a feature that can payments. Also, Pricing is too high for profile update feature.",5,chat,feature
164,"I keep getting an error on search screen. Also, The new layout is confusing and I can't signup.",1,email,bug
165,"I keep getting an error on sharing screen. Also, I have a general question about logging in.",1,mobile,bug
166,"The integration with serviceX button doesn't work, it just without errors.",5,web,bug
167,The new layout is confusing and I can't notifications.,5,chat,ux
168,Excellent support when I search.,3,mobile,praise
169,Please add checkout to improve recently.,1,mobile,feature
170,The new layout is confusing and I can't sharing.,2,web,ux
171,Great experience with logging in — thank you!,5,web,praise
172,Navigation is hard; I expected profile update to be easier.,3,chat,ux
173,Excellent support when I uploading photos.,4,chat,praise
174,App crashes when I try to signup.,1,chat,bug
175,App crashes when I try to integration with serviceX.,5,chat,bug
176,The new layout is confusing and I can't notifications.,5,email,ux
177,"The search button doesn't work, it just recently.",2,web,bug
178,"I'd love a feature that can profile update. Also, I'd love a feature that can profile update.",1,mobile,feature
179,The font size is too small on profile update pages.,3,email,ux
180,I have a general question about dark mode.,2,mobile,other
181,I have a general question about checkout.,1,web,other
182,Navigation is hard; I expected payments to be easier.,3,chat,ux
183,Excellent support when I sorting.,5,mobile,praise
184,I'd love a feature that can notifications.,5,mobile,feature
185,"I'd love a feature that can signup. Also, Great experience with notifications — thank you!",3,web,feature
186,Need support for profile update integrations.,1,chat,feature
187,Need support for payments integrations.,5,email,feature
188,Navigation is hard; I expected uploading photos to be easier.,4,web,ux
189,"The dark mode button doesn't work, it just sometimes.",3,mobile,bug
190,"Loving the app, payments works great!",3,chat,praise
191,I have a general question about filters.,5,email,other
192,"I keep getting an error on profile update screen. Also, The font size is too small on sync pages.",4,chat,bug
193,Excellent support when I integration with serviceX.,2,web,praise
194,"The filters button doesn't work, it just without errors.",2,web,bug
195,Not sure how to use the app for dark mode.,3,email,other
196,The font size is too small on sync pages.,4,mobile,ux
197,"Need support for sharing integrations. Also, I have a general question about search.",4,email,feature
198,Please add sharing to improve sometimes.,5,chat,feature
199,Not sure how to use the app for two-factor auth.,3,web,other
200,I keep getting an error on uploading photos screen.,4,email,bug
201,"I'd love a feature that can dark mode. Also, I'd love a feature that can logging in.",1,chat,feature
202,The font size is too small on payments pages.,4,chat,ux
203,Navigation is hard; I expected two-factor auth to be easier.,4,mobile,ux
204,Great experience with sorting — thank you!,4,email,praise
205,Navigation is hard; I expected two-factor auth to be easier.,1,chat,ux
206,Need support for filters integrations.,4,chat,feature
207,"Pricing is too high for notifications feature. Also, No comment, just checking in.",4,mobile,pricing
208,Need support for payments integrations.,2,web,feature
209,"The sync button doesn't work, it just sometimes.",4,email,bug
210,"Not sure how to use the app for sorting. Also, I'd love a feature that can sharing.",2,email,other
211,App crashes when I try to signup.,4,web,bug
212,"I'd love a feature that can sync. Also, App crashes when I try to integration with serviceX.",2,mobile,feature
213,"The filters button doesn't work, it just without errors.",4,web,bug
214,"Subscription plans are confusing; I want payments option. Also, Not sure how to use the app for uploading photos.",4,email,pricing
215,App crashes when I try to dark mode.,5,chat,bug
216,"Need support for two-factor auth integrations. Also, I was charged twice when I profile update.",1,email,feature
217,"Need support for filters integrations. Also, Loving the app, signup works great!",4,email,feature
218,"Need support for filters integrations. Also, The new layout is confusing and I can't dark mode.",1,mobile,feature
219,App crashes when I try to filters.,4,mobile,bug
220,I'd love a feature that can payments.,5,web,feature
221,I have a general question about signup.,1,mobile,other
222,The font size is too small on sync pages.,2,mobile,ux
223,I was charged twice when I notifications.,2,web,pricing
224,Navigation is hard; I expected filters to be easier.,3,web,ux
225,"The profile update button doesn't work, it just quickly.",1,mobile,bug
226,"Need support for signup integrations. Also, I was charged twice when I checkout.",1,email,feature
227,"I have a general question about logging in. Also, The new layout is confusing and I can't search.",2,mobile,other
228,Excellent support when I notifications.,4,web,praise
229,"Loving the app, payments works great!",5,web,praise
230,"App crashes when I try to sorting. Also, I'd love a feature that can signup.",4,chat,bug
231,"Excellent support when I logging in. Also, I have a general question about filters.",5,email,praise
232,"Excellent support when I checkout. Also, Loving the app, sync works great!",5,web,praise
233,Navigation is hard; I expected uploading photos to be easier.,4,web,ux
234,"I keep getting an error on uploading photos screen. Also, Great experience with two-factor auth — thank you!",3,mobile,bug
235,Please add sync to improve recently.,2,mobile,feature
236,"I keep getting an error on signup screen. Also, No comment, just checking in.",3,web,bug
237,I'd love a feature that can uploading photos.,2,email,feature
238,"Please add integration with serviceX to improve without errors. Also, Subscription plans are confusing; I want checkout option.",3,chat,feature
239,App crashes when I try to two-factor auth.,5,web,bug
240,Please add notifications to improve sometimes.,3,mobile,feature
241,"Subscription plans are confusing; I want payments option. Also, The new layout is confusing and I can't sync.",5,mobile,pricing
242,"I keep getting an error on uploading photos screen. Also, The font size is too small on payments pages.",4,chat,bug
243,"App crashes when I try to profile update. Also, Not sure how to use the app for sharing.",5,chat,bug
244,The new layout is confusing and I can't profile update.,3,chat,ux
245,"Excellent support when I sharing. Also, App crashes when I try to uploading photos.",5,chat,praise
246,I keep getting an error on sync screen.,2,web,bug
247,Pricing is too high for two-factor auth feature.,4,mobile,pricing
248,Subscription plans are confusing; I want notifications option.,5,chat,pricing
249,"No comment, just checking in.",3,web,other
250,"The integration with serviceX button doesn't work, it just sometimes.",2,email,bug
251,"Loving the app, profile update works great!",4,chat,praise
252,The font size is too small on notifications pages.,3,chat,ux
253,Great experience with profile update — thank you!,4,mobile,praise
254,App crashes when I try to integration with serviceX.,4,web,bug
255,I'd love a feature that can sync.,2,web,feature
256,"Great experience with notifications — thank you! Also, App crashes when I try to filters.",5,web,praise
257,"I keep getting an error on uploading photos screen. Also, Navigation is hard; I expected filters to be easier.",4,email,bug
258,Great experience with notifications — thank you!,2,chat,praise
259,I keep getting an error on sync screen.,2,email,bug
260,"Loving the app, filters works great!",2,email,praise
261,Please add notifications to improve sometimes.,1,mobile,feature
262,I keep getting an error on payments screen.,4,email,bug
263,App crashes when I try to two-factor auth.,5,mobile,bug
264,I'd love a feature that can notifications.,2,email,feature
265,"The sorting button doesn't work, it just quickly. Also, No comment, just checking in.",4,web,bug
266,Pricing is too high for payments feature.,4,chat,pricing
267,Subscription plans are confusing; I want sorting option.,5,web,pricing
268,"Navigation is hard; I expected sorting to be easier. Also, App crashes when I try to notifications.",1,web,ux
269,"The signup button doesn't work, it just every time. Also, I have a general question about dark mode.",4,chat,bug
270,App crashes when I try to integration with serviceX.,2,email,bug
271,Not sure how to use the app for dark mode.,5,email,other
272,Great experience with profile update — thank you!,5,web,praise
273,Need support for integration with serviceX integrations.,5,chat,feature
274,The new layout is confusing and I can't signup.,2,mobile,ux
275,Please add checkout to improve recently.,3,email,feature
276,Not sure how to use the app for search.,3,mobile,other
277,I keep getting an error on search screen.,2,web,bug
278,The new layout is confusing and I can't sharing.,4,mobile,ux
279,"No comment, just checking in.",5,mobile,other
280,"I'd love a feature that can sorting. Also, The font size is too small on profile update pages.",4,email,feature
281,"Pricing is too high for sharing feature. Also, I keep getting an error on payments screen.",3,chat,pricing
282,Excellent support when I filters.,4,mobile,praise
283,Subscription plans are confusing; I want checkout option.,5,chat,pricing
284,Excellent support when I two-factor auth.,3,email,praise
285,I have a general question about sync.,1,chat,other
286,Navigation is hard; I expected payments to be easier.,2,mobile,ux
287,I'd love a feature that can sorting.,5,mobile,feature
288,"I was charged twice when I two-factor auth. Also, I have a general question about signup.",1,email,pricing
289,I'd love a feature that can integration with serviceX.,4,email,feature
290,I keep getting an error on signup screen.,5,chat,bug
291,I'd love a feature that can search.,4,web,feature
292,"The notifications button doesn't work, it just every time.",5,mobile,bug
293,I keep getting an error on search screen.,5,email,bug
294,"Navigation is hard; I expected checkout to be easier. Also, The search button doesn't work, it just sometimes.",2,chat,ux
295,Pricing is too high for integration with serviceX feature.,5,mobile,pricing
296,"I keep getting an error on logging in screen. Also, Please add payments to improve every time.",5,chat,bug
297,"Loving the app, signup works great! Also, Excellent support when I dark mode.",4,email,praise
298,"The checkout button doesn't work, it just sometimes.",3,mobile,bug
299,Pricing is too high for checkout feature.,3,email,pricing
300,App crashes when I try to checkout.,4,mobile,bug
301,The font size is too small on sorting pages.,3,mobile,ux
302,Need support for uploading photos integrations.,3,web,feature
303,The new layout is confusing and I can't filters.,4,chat,ux
304,App crashes when I try to search.,2,web,bug
305,I keep getting an error on signup screen.,5,email,bug
306,App crashes when I try to two-factor auth.,2,web,bug
307,"Please add integration with serviceX to improve recently. Also, Please add checkout to improve sometimes.",3,chat,feature
308,I was charged twice when I profile update.,3,mobile,pricing
309,The new layout is confusing and I can't notifications.,3,mobile,ux
310,"The new layout is confusing and I can't sharing. Also, Loving the app, profile update works great!",3,chat,ux
311,App crashes when I try to logging in.,3,chat,bug
312,"Not sure how to use the app for filters. Also, Not sure how to use the app for integration with serviceX.",4,chat,other
313,Navigation is hard; I expected integration with serviceX to be easier.,3,email,ux
314,Need support for sync integrations.,2,chat,feature
315,"App crashes when I try to search. Also, I'd love a feature that can search.",5,chat,bug
316,"Not sure how to use the app for sorting. Also, Not sure how to use the app for logging in.",4,email,other
317,Navigation is hard; I expected sorting to be easier.,3,web,ux
318,"No comment, just checking in.",4,chat,other
319,Great experience with logging in — thank you!,5,chat,praise
320,"No comment, just checking in.",4,mobile,other
321,"Need support for filters integrations. Also, Navigation is hard; I expected filters to be easier.",1,chat,feature
322,"Loving the app, checkout works great! Also, Subscription plans are confusing; I want profile update option.",5,web,praise
323,The font size is too small on integration with serviceX pages.,5,mobile,ux
324,Not sure how to use the app for sync.,5,chat,other
325,I'd love a feature that can logging in.,3,email,feature
326,"The sync button doesn't work, it just recently.",1,email,bug
327,"Need support for sharing integrations. Also, I keep getting an error on sharing screen.",3,mobile,feature
328,"App crashes when I try to checkout. Also, Need support for two-factor auth integrations.",2,chat,bug
329,Not sure how to use the app for sync.,4,email,other
330,I keep getting an error on sync screen.,3,web,bug
331,"Need support for filters integrations. Also, The font size is too small on sync pages.",5,mobile,feature
332,Pricing is too high for logging in feature.,3,email,pricing
333,"The signup button doesn't work, it just recently.",5,web,bug
334,I have a general question about dark mode.,1,web,other
335,"Please add logging in to improve recently. Also, I keep getting an error on filters screen.",4,chat,feature
